TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
codigos.Words,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9987654320987654,152,151
codigos.Identifier,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9917695473251028,75,73
